"WO/SO #","Customer","Invoice#","Outgoing Form#","Invoice Date"
"SO-20250732","QDS Systems, Inc.","DS-20250721","O2507-030",""
"SO-20250942","Advantage Electric Supply","DS-20250722","O2507-031",""
"SO-20250829","Contoro Inc","DS-20250723","O2507-032",""
"SO-20250949","COAST Automation","DS-20250725","O2507-033",""
"SO-20250931","Ardea Technologies Inc.","DS-20250726","O2507-034",""
"SO-20250493","Aerflite Canada Inc.","DS-20250727","O2507-035",""
"SO-20250760","Strayos Inc.","DS-20250728","O2507-036",""
"SO-20241052","Tek 84 Engineering Group","DS-20250729","O2507-037",""
"SO-20250742","Leidos Dynetics","DS-20250731","O2507-038",""
"SO-20250107","LensLock, Inc.","DS-20250732","O2507-039",""
"SO-20250965","California Designs & Systems, Inc.","DS-20250733","O2507-040",""
"SO-20250678","Flanders Inc","DS-20250734","O2507-041",""
"SO-20250969","Industrial PC","DS-20250735","O2507-042",""
"SO-20250916","Invision Ai, Inc","DS-20250736","O2507-043",""
"SO-20250702","Graftek Imaging Inc.","DS-20250737","O2507-044",""
"SO-20250950","VITA DETECTION INC.","DS-20250738","O2507-045",""
"SO-20250688","Applied Intuition, Inc.","DS-20250739","O2507-046",""
"SO-20250755","Applied Intuition, Inc.","DS-20250740","O2507-047",""
"SO-20250952","Keysight Technologies, Inc.","DS-20250741","O2507-048",""
"SO-20250959","COAST Automation","DS-20250742","O2507-049",""
"SO-20250534","RIOS Intelligent Machines","DS-20250743","O2507-050",""
"SO-20250857","FEV North America Inc.","DS-20250744","O2507-051",""
"SO-20250902","Data Stagers","DS-20250745","O2507-052",""
"SO-20250970","Advantage Electric Supply","DS-20250747","O2507-053",""
"SO-20250822","Meridian Electric Inc.","DS-20250748","O2507-054",""
"SO-20250825","Detroit Diesel Corporation","DS-20250749","O2507-055",""
"SO-20250828","Genie Mobility","DS-20250750","O2507-056",""
"SO-20250925","Joby Aviation","DS-20250751","O2507-057",""
"SO-20250751","Aeva","DS-20250752","O2507-058",""
"SO-20250617","Flyscan Systems Inc.","DS-20250753","O2507-059",""
"SO-20250243","Aerflite Canada Inc.","DS-20250754","O2507-060",""
"SO-20250244","Aerflite Canada Inc.","DS-20250754","O2507-060",""
"SO-20250945","LAPTOP PARTS JA","DS-20250757","O2507-061",""
"SO-20250981","FoxEyes Corporation","DS-20250758","O2507-062",""
"SO-20250909","Provectus Robotics Solutions Inc.","DS-20250760","O2507-063",""
"SO-20250984","Advanced Construction Robotics","DS-20250761","O2507-064",""
"SO-20250989","Honeywell International Inc","DS-20250762","O2507-065",""
"SO-20250397","SIL4 Systems, Inc.","DS-20250764","O2507-066",""
"SO-20250677","ViDARR INC.","DS-20250765","O2507-067",""
"SO-20250810","Lightning Pick","DS-20250766","O2507-068",""
"SO-20250817","CACI INC FEDERAL","DS-20250767","O2507-069",""
"SO-20250493","Aerflite Canada Inc.","DS-20250768","O2507-070",""
"SO-20251006","Leidos Dynetics","DS-20250770","O2507-071",""
"SO-20241053","Tek 84 Engineering Group","DS-20250771","O2507-072",""
"SO-20250994","Naval Engineering Test Establishment (NETE)","DS-20250772","O2507-073",""
"SO-20250383","M3 Technology","DS-20250773","O2507-074",""
"SO-20250615","Carnegie Robotics","DS-20250774","O2507-075",""
"SO-20250900","Rheinmetall Canada Inc.","DS-20250775","O2507-076",""
"SO-20250910","L3 HARRIS TECHNOLOGIES INC.","DS-20250776","O2507-077",""
"SO-20250920","Wilder Systems LLC","DS-20250777","O2507-078",""
"SO-20250731","QDS Systems, Inc.","DS-20250778","O2507-079",""
"SO-20250975","SAM Analytic Solutions","DS-20250779","O2507-080",""
"SO-20251026","Digikey","DS-2025780","O2507-081",""
"SO-20250854","WorkVis.io Inc","DS-20250781","O2507-082",""
"SO-20250906","FireFly Automatix, Inc.","DS-20250782","O2507-083",""
"SO-20250798","Virginia Tech Transportation Institute","DS-20250783","O2507-084",""
"SO-20250840","PrePass","DS-20250784","O2507-085",""
"SO-20251024","I4 SOLUTION, LLC","DS-20250785","O2507-086",""
"SO-20250792","AIBOT","DS-20250786","O2507-087",""
"SO-20251018","COAST Automation","DS-20250787","O2507-088",""
"SO-20250990","ALM Positioners Inc.","DS-20250788","O2507-089",""
"SO-20250756","Dataspeed Inc.","DS-20250789","O2507-090",""
"SO-20250884","Construction Engineering Research Laboratory (CERL)","DS-20250790","O2507-091",""
"SO-20250754","Clemson University, CU-ICAR","DS-20250791","O2507-092",""
"SO-20250858","FEV North America Inc.","DS-20250792","O2507-093",""
"SO-20250864","Boson Motor Inc","DS-20250793","O2507-094",""
"SO-20251008","Navflex Inc.","DS-20250796","O2507-095",""
"SO-20250982","CNH Industrial America LLC","DS-20250797","O2507-096",""
"SO-20251010","Keysight Technologies, Inc.","DS-20250799","O2507-097",""
"SO-20250924","Velasea","DS-20250800","O2507-098",""
"SO-20250972","AIM Intelligent Machines","DS-20250801","O2507-099",""
"SO-20251055","Boston Scientific","DS-20250802","O2507-100",""
"SO-20250907","Point Blank Enterprices, Inc","DS-20250803","O2507-101",""
"SO-20250966","Scout AI Inc.","DS-20250804","O2507-102",""
"SO-20251021","Automated Environments","DS-20250805","O2507-103",""
"SO-20250991","Uber Technologies","DS-20250806","O2507-104",""
"SO-20250790","Architectural Builders Hardware Mfg. Inc.","DS-20250807","O2507-105",""
"SO-20250107","LensLock, Inc.","DS-20250808","O2507-106",""
"SO-20251017","VITA DETECTION INC.","DS-20250810","O2507-107",""
"SO-20250971","Tenneco","DS-20250811","O2507-108",""
"SO-20251071","8th Revolution","DS-20250812","O2507-109",""
"SO-20250870","Anixter Inc.","DS-20250813","O2507-110",""
"SO-20251060","Laserax","DS-20250814","O2507-111",""
"SO-20251069","Concurrent Real-Time, Inc.","DS-20250815","O2507-112",""
"SO-20250562","Maritime Applied Physics Corporation dba BlackSea Technologies","DS-20250816","O2507-113",""
"SO-20250563","Maritime Applied Physics Corporation dba BlackSea Technologies","DS-20250817","O2507-114",""
"SO-20250793","Carnegie Robotics","DS-20250818","O2507-115",""
"SO-20250794","Carnegie Robotics","DS-20250818","O2507-115",""
"SO-20250996","Inficon Inc.","DS-20250819","O2507-116",""
"SO-20250655","Seafloor Systems, Inc","DS-20250820","O2507-117",""
"SO-20251007","Navflex Inc.","DS-20250821","O2507-118",""
"SO-20250963","COAST Automation","DS-20250822","O2507-119",""
"SO-20250787","MACHINEX INDUSTRIES INC.","DS-20250823","O2507-120",""
"SO-20250901","Ocean Power Technologies, Inc.","DS-20250824","O2507-121",""
"SO-20250743","Construction Engineering Research Laboratory (CERL)","DS-20250827","O2507-122",""
"SO-20250727","Pacific Northwest National Lab","DS-20250828","O2507-123",""
"SO-20250727","Pacific Northwest National Lab","DS-20250828","O2507-123",""
"SO-20250929","Palladyne AI Corp.","DS-20250831","O2508-001",""
"SO-20250930","Elevate Robotics","DS-20250833","O2508-002",""
"SO-20250997","Globe Machine Manufacturing Company Burelbach Industries","DS-20250834","O2508-003",""
"SO-20250985","Boston Scientific","DS-20250835","O2508-004",""
"SO-20250889","Boston Scientific","DS-20250836","O2508-005",""
"SO-20251035","Boston Scientific","DS-20250837","O2508-006",""
"SO-20250390","Urban Transportation Associates","DS-20250838","O2508-007",""
"SO-20251101","Digikey","DS-20250839","O2508-008",""
"SO-20250903","PrePass","DS-20250840","O2508-009",""
"SO-20250888","Boston Scientific","DS-20250841","O2508-010",""
"SO-20250993","Naval Engineering Test Establishment (NETE)","DS-20250842","O2508-011",""
"SO-20250494","Aerflite Canada Inc.","DS-20250843","O2508-012",""
"SO-20250751","Aeva","DS-20250752r","O2508-013",""
"SO-20251112","Digikey","DS-20250844","O2508-014",""
"SO-20251043","Boston Scientific","DS-20250845","O2508-015",""
"SO-20250865","Boston Scientific","DS-20250846","O2508-016",""
"SO-20251109","Xiris Automation Inc.","DS-20250847","O2508-017",""
"SO-20250843","Boston Scientific","DS-20250848","O2508-018",""
"SO-20250904","Boston Scientific","DS-20250849","O2508-019",""
"SO-20250799","Near Earth Autonomy","DS-20250850","O2508-020",""
"SO-20251088","SAM Analytic Solutions","DS-20250851","O2508-021",""
"SO-20250844","PaR Systems, LLC","DS-20250852","O2508-022",""
"SO-20250893","RDI Technologies","DS-20250853","O2508-023",""
"SO-20250951","InflexionPoint, LLC","DS-20250854","O2508-024",""
"SO-20241054","Tek 84 Engineering Group","DS-20250855","O2508-025",""
"SO-20251092","Sixense Inc","DS-20250857","O2508-026",""
"SO-20250899","Contoro Inc","DS-20250858","O2508-027",""
"SO-20250896","Honeywell International Inc","DS-20250859","O2508-028",""
"SO-20250927","USA Vision Systems Inc.","DS-20250860","O2508-029",""
"SO-20251068","Aerflite Canada Inc.","DS-20250861","O2508-030",""
"SO-20251118","EmbedTek, LLC","DS-20250862","O2508-031",""
"SO-20250992","MEDATech/Borterra","DS-20250863","O2508-032",""
"SO-20251119","WorkVis.io Inc","DS-20250864","O2508-033",""
"SO-20251080","Dexterity, Inc.","DS-20250865","O2508-034",""
"SO-20250795","Outrider Technologies, Inc.","DS-20250866","O2508-035",""
"SO-20251132","I4 SOLUTION, LLC","DS-20250867","O2508-036",""
"SO-20251061","InflexionPoint, LLC","DS-20250868","O2508-037",""
"SO-20251094","InflexionPoint, LLC","DS-20250869","O2508-038",""
"SO-20251066","Mitsubishi Electric Automotive America, Inc.","DS-20250870","O2508-039",""
"SO-20251034","Bluewater Autonomy","DS-20250871","O2508-040",""
"SO-20251130","General Technics Inc","DS-20250872","O2508-041",""
"SO-20250980","Helm.ai","DS-20250873","O2508-042",""
"SO-20251122","ON2TECH INC. dba CWC Group
Inc","DS-20250874","O2508-043",""
"SO-20250956","CACI INC FEDERAL","DS-20250875","O2508-044",""
"SO-20251005","Crafco, Inc.","DS-20250877","O2508-045",""
"SO-20250494","Aerflite Canada Inc.","DS-20250878","O2508-046",""
"SO-20251014","SHI International Corp","DS-20250879","O2508-047",""
"SO-20251120","Ank Solutions","DS-20250880","O2508-048",""
"SO-20251025","QDS Systems, Inc.","DS-20250881","O2508-049",""
"SO-20251136","Inficon Inc.","DS-20250882","O2508-050",""
"SO-20251036","Boston Scientific","DS-20250883","O2508-051",""
"SO-20251117","Boston Scientific","DS-20250884","O2508-052",""
"SO-20251033","Lightning Pick","DS-20250885","O2508-053",""
"SO-20250868","Google LLC","DS-20250886","O2508-054",""
"SO-20251009","American Portwell Technology, Inc.","DS-20250889","O2508-055",""
"SO-20251000","U.S. Department of Agriculture","DS-20250890","O2508-056",""
"SO-20251123","Conception R P Inc","DS-20250891","O2508-057",""
"SO-20250613","Mid-Atlantic Rugged Systems","DS-20250892","O2508-058",""
"SO-20250739","University of South Carolina- Integrated Multiphysics & Systems Engineering Laboratory (iMSEL)","DS-20250893","O2508-059",""
"SO-20251164","COAST Automation","DS-20250894","O2508-060",""
"SO-20251157","California Designs & Systems, Inc.","DS-20250895","O2508-061",""
"SO-20250494","Aerflite Canada Inc.","DS-20250896","O2508-062",""
"SO-20250637","FireFly Automatix, Inc.","DS-20250897","O2508-063",""
"SO-20251150","Next Imaging, Inc.","DS-20250898","O2508-064",""
"SO-20251154","Applied Medical Resources Corporation","DS-20250899","O2508-065",""
"SO-20251059","Noah Medical Corporation","DS-20250900","O2508-066",""
"SO-20251077","A.B. Distributing, Inc.","DS-20250901","O2508-067",""
"SO-20251144","A.B. Distributing, Inc.","DS-20250902","O2508-068",""
"SO-20250484","Automated Environments","DS-20250904","O2508-069",""
"SO-20250867","Bluewater Autonomy","DS-20250905","O2508-070",""
"SO-20250898","Contoro Inc","DS-20250906","O2508-071",""
"SO-20251045","Virginia Tech Transportation Institute","DS-20250907","O2508-072",""
"SO-20251171","RPI","DS-20250909","O2508-073",""
"SO-20251065","General Technics Inc","DS-20250910","O2508-074",""
"SO-20250494","Aerflite Canada Inc.","DS-20250911","O2508-075",""
"SO-20251078","Meridian Electric Inc.","DS-20250912","O2508-076",""
"SO-20250939","Lightning Pick","DS-20250913","O2508-077",""
"SO-20251148","Hard Drives Northwest","DS-20250914","O2508-078",""
"SO-20251183","Cognex Corporation","DS-20250915","O2508-079",""
"SO-20251201","Industrial PC","DS-20250916","O2508-080",""
"SO-20251206","MEDATech/Borterra","DS-20250917","O2508-081",""
"SO-20250957","CACI INC FEDERAL","DS-20250918","O2508-082",""
"SO-20250802","Scout AI Inc.","DS-20250919","O2508-083",""
"SO-20251020","Toyota Research Institute","DS-20250920","O2508-084",""
"SO-20251140","Aerflite Canada Inc.","DS-20250921","O2508-085",""
"SO-20251075","SAM Analytic Solutions","DS-20250923","O2508-086",""
"SO-20251213","Digikey","DS-20250924","O2508-087",""
"SO-20250919","Carnegie Robotics","DS-20250925","O2508-088",""
"SO-20251125","L3 HARRIS TECHNOLOGIES INC.","DS-20250926","O2508-089",""
"SO-20251190","RIOS Intelligent Machines","DS-20250927","O2508-090",""
"SO-20250590","Celestica Inc.","DS-20250928","O2508-091",""
"SO-20251108","Mission Control","DS-20250929","O2508-092",""
"SO-20251012","Candela Technologies Inc","DS-20250931","O2508-093",""
"SO-20251089","Velasea","DS-20250933","O2508-094",""
"SO-20251182","Velasea","DS-20250934","O2508-095",""
"SO-20251134","Bluewater Autonomy","DS-20250937","O2508-096",""
"SO-20251104","MCL Industries, Inc.","DS-20250938","O2508-097",""
"SO-20251149","Intelligent Wellhead Systems","DS-20250939","O2508-098",""
"SO-20251239","Digikey","DS-20250940","O2508-099",""
"SO-20251232","Kawasaki Robotics (USA), Inc.","DS-20250941","O2508-100",""
"SO-20251146","Boston Scientific","DS-20250943","O2509-001",""
"SO-20251165","Boston Scientific","DS-20250944","O2509-002",""
"SO-20251160","Boston Scientific","DS-20250945","O2509-003",""
"SO-20251129","Laserax","DS-20250946","O2509-004",""
"SO-20251104","MCL Industries, Inc.","DS-20250947","O2509-005",""
"SO-20251138","LA Metro","DS-20250948","O2509-006",""
"SO-20251139","LA Metro","DS-20250949","O2509-007",""
"SO-20250938","Carnegie Robotics","DS-20250950","O2509-008",""
"SO-20250948","SHI International Corp","DS-20250951","O2509-009",""
"SO-20251047","BDR Labs Inc","DS-20250952","O2509-010",""
"SO-20251028","Echodyne Corp","DS-20250953","O2509-011",""
"SO-20251246","Digikey","DS-20250954","O2509-012",""
"SO-20251096","Dexterity, Inc.","DS-20250955","O2509-013",""
"SO-20251040","Outrider Technologies, Inc.","DS-20250957","O2509-014",""
"SO-20251225","Next Imaging, Inc.","DS-20250958","O2509-015",""
"SO-20251042","Applied Intuition, Inc.","DS-20250961","O2509-016",""
"SO-20251240","Boston Scientific","DS-20250962","O2509-017",""
"SO-20250591","Celestica Inc.","DS-20250963","O2509-018",""
"SO-20250819","Celestica Inc.","DS-20250964","O2509-019",""
"SO-20250494","Aerflite Canada Inc.","DS-20250965","O2509-020",""
"SO-20251039","International Road Dynamics Inc.","DS-20250966","O2509-021",""
"SO-20251016","Four Growers","DS-20250967","O2509-022",""
"SO-20251096","Dexterity, Inc.","DS-20250968","O2509-023",""
"SO-20251238","Construction Engineering Research Laboratory (CERL)","DS-20250969","O2509-024",""
"SO-20251041","Hyundai America Technical Center, Inc.","DS-20250970","O2509-025",""
"SO-20251141","Yokohama Tire Corporation","DS-20250971","O2509-026",""
"SO-20250867","Bluewater Autonomy","DS-20250972","O2509-027",""
"SO-20251252","Echodyne Corp","DS-20250973","O2509-028",""
"SO-20251147","A? by Airbus","DS-20250974","O2509-029",""
"SO-20251263","Industrial PC","DS-20250975","O2509-030",""
"SO-20251114","Celestica Inc.","DS-20250976","O2509-031",""
"SO-20251255","COAST Automation","DS-20250977","O2509-032",""
"SO-20251107","Ocean Power Technologies, Inc.","DS-20250978","O2509-033",""
"SO-20251099","Norlab
Universit? Laval","DS-20250979","O2509-034",""
"SO-20251100","Norlab
Universit? Laval","DS-20250979","O2509-034",""
"SO-20250788","MACHINEX INDUSTRIES INC.","DS-20250980","O2509-035",""
"SO-20251079","SHI International Corp","DS-20250981","O2509-036",""
"SO-20251151","InfraVis LLC","DS-20250982","O2509-037",""
"SO-20251105","Laserax","DS-20250983","O2509-038",""
"SO-20251115","Velociti LLC","DS-20250984","O2509-039",""
"SO-20251081","CACI INC FEDERAL","DS-20250985","O2509-040",""
"SO-20251110","Intramotev Inc","DS-20250986","O2509-041",""
"SO-20251274","General Technics Inc","DS-20250987","O2509-042",""
"SO-20251275","California Designs & Systems, Inc.","DS-20250988","O2509-043",""
"SO-20251282","COAST Automation","DS-20250990","O2509-044",""
"SO-20251266","Ohio Gravure Technologies Inc","DS-20250991","O2509-045",""
"SO-20251278","QDS Systems, Inc.","DS-20250992","O2509-046",""
"SO-20251270","ManTech International Corporation","DS-20250994","O2509-047",""
"SO-20251073","Pattern Labs, Inc.","DS-20250995","O2509-048",""
"SO-20251158","Sizelabs Corp","DS-20250996","O2509-049",""
"SO-20251159","Sizelabs Corp","DS-20250997","O2509-050",""
"SO-20251188","Sizelabs Corp","DS-20250998","O2509-051",""
"SO-20251189","Sizelabs Corp","DS-20250999","O2509-052",""
"SO-20251219","Boston Scientific","DS-20251000","O2509-053",""
"SO-20251199","Contoro Inc","DS-20251001","O2509-054",""
"SO-20251221","Boston Scientific","DS-20251002","O2509-055",""
"SO-20251170","Rheinmetall Canada Inc.","DS-20251004","O2509-056",""
"SO-20251200","University of California San Diego","DS-20251005","O2509-057",""
"SO-20251216","Dataspeed Inc.","DS-20251006","O2509-058",""
"SO-20251121","Ardea Technologies Inc.","DS-20251007","O2509-059",""
"SO-20251156","Science Engineering Associates, Inc.","DS-20251008","O2509-060",""
"SO-20251062","Helm.ai","DS-20251009","O2509-061",""
"SO-20251211","Aerflite Canada Inc.","DS-20251010","O2509-062",""
"SO-20241055","Tek 84 Engineering Group","DS-20251011","O2509-063",""
"SO-20251180","Sacramento Municipal Utility District","DS-20251012","O2509-064",""
"SO-20251011","Physical Sciences Inc.","DS-20251013","O2509-065",""
"SO-20251152","AIM Intelligent Machines","DS-20251014","O2509-066",""
"SO-20251300","MOTIVE ENERGY, INC.","DS-20251015","O2509-067",""
"SO-20251305","Visionary Technologies","DS-20251016","O2509-068",""
"SO-20251256","Mainspring Energy, Inc.","DS-20251017","O2509-069",""
"SO-20251131","Acuitus Ag","DS-20251018","O2509-070",""
"SO-20250978","Lightning Pick","DS-20251019","O2509-071",""
"SO-20251303","COAST Automation","DS-20251020","O2509-072",""
"SO-20251185","Tenneco","DS-20251021","O2509-073",""
"SO-20251184","PaR Systems, LLC","DS-20251022","O2509-074",""
"SO-20251186","Mcity - University of Michigan","DS-20251023","O2509-075",""
"SO-20251310","Uber Technologies","DS-20251024","O2509-076",""
"SO-20251230","Ball Horticultural Company","DS-20251025","O2509-077",""
"SO-20251317","Aerflite Canada Inc.","DS-20251027","O2509-078",""
"SO-20250495","Aerflite Canada Inc.","DS-20251028","O2509-079",""
"SO-20251320","Next Imaging, Inc.","DS-20251029","O2509-080",""
"SO-20251220","Dataspeed Inc.","DS-20251030","O2509-081",""
"SO-20251203","Dexterity, Inc.","DS-20251031","O2509-082",""
"SO-20251331","Digikey","DS-20251032","O2509-083",""
"SO-20251224","Keysight Technologies, Inc.","DS-20251033","O2509-084",""
"SO-20251237","E-Technologies Group, LLC","DS-20251034","O2509-085",""
"SO-20251276","E-Technologies Group, LLC","DS-20251035","O2509-086",""
"SO-20250933","Applied Intuition, Inc.","DS-20251037","O2509-087",""
"SO-20251103","International motors","DS-20251038","O2509-088",""
"SO-20250495","Aerflite Canada Inc.","DS-20251039","O2509-089",""
"SO-20251242","QDS Systems, Inc.","DS-20251040","O2509-090",""
"SO-20251223","Herzog Services, Inc","DS-20251041","O2509-091",""
"SO-20251196","FEV North America Inc.","DS-20251042","O2509-092",""
"SO-20251290","Advanced Technology Systems Company","DS-20251044","O2509-093",""
"SO-20251029","Automated Environments","DS-20251045","O2509-094",""
"SO-20251168","Jeld Wen Engineering","DS-20251046","O2509-095",""
"SO-20251344","California Designs & Systems, Inc.","DS-20251047","O2509-096",""
"SO-20251203","Dexterity, Inc.","DS-20251048","O2509-097",""
"SO-20251269","ASI Technologies","DS-20251049","O2509-098",""
"SO-20251329","Laserax","DS-20251052","O2509-099",""
"SO-20251197","FEV North America Inc.","DS-20251053","O2509-100",""
"SO-20251330","Wilder Systems LLC","DS-20251054","O2509-101",""
"SO-20251355","Digikey","DS-20251055","O2509-102",""
"SO-20251354","Laserax","DS-20251057","O2509-103",""
"SO-20251360","Measurement Instruments","DS-20251058","O2509-104",""
"SO-20251356","W5 Engineering","DS-20251059","O2509-105",""
"SO-20251289","California Designs & Systems, Inc.","DS-20251060","O2509-106",""
"SO-20251040","Outrider Technologies, Inc.","DS-20251061","O2509-107",""
"SO-20251321","COAST Automation","DS-20251062","O2509-108",""
"SO-20251095","Dexterity, Inc.","DS-20251063","O2509-109",""
"SO-20251198","Neya Systems","DS-20251064","O2509-110",""
"SO-20250495","Aerflite Canada Inc.","DS-20251065","O2509-111",""
"SO-20251273","Keysight Technologies, Inc.","DS-20251066","O2509-112",""
"SO-20251364","Industrial PC","DS-20251067","O2509-113",""
"SO-20251284","Monteris Medical","DS-20251068","O2509-114",""
"SO-20251350","COAST Automation","DS-20251069","O2509-115",""
"SO-20251235","Boston Scientific","DS-20251070","O2509-116",""
"SO-20251241","Boston Scientific","DS-20251071","O2509-117",""
"SO-20251372","General Technics Inc","DS-20251072","O2510-001",""
"SO-20251380","Industrial PC","DS-20251073","O2510-002",""
"SO-20251046","Cognex Corporation","DS-20251074","O2510-003",""
"SO-20251046","Cognex Corporation","DS-20251074","O2510-003",""
"SO-20251286","Peak WiFi, LLC","DS-20251075","O2510-004",""
"SO-20250935","Applied Intuition, Inc.","DS-20251076","O2510-005",""
"SO-20251231","Vortex Systems LLC","DS-20251078","O2510-006",""
"SO-20251257","Leidos, Inc.","DS-20251079","O2510-007",""
"SO-20251382","COAST Automation","DS-20251080","O2510-008",""
"SO-20251383","COAST Automation","DS-20251080","O2510-008",""
"SO-20251208","Laserax","DS-20251082","O2510-009",""
"SO-20251370","Fox
Corporation - WITI","DS-20251083","O2510-010",""
"SO-20251375","COAST Automation","DS-20251084","O2510-011",""
"SO-20251166","Carnegie Robotics","DS-20251086","O2510-012",""
"SO-20251215","Purdue University","DS-20251087","O2510-013",""
"SO-20251323","Boston Scientific","DS-20251088","O2510-014",""
"SO-20251411","Digikey","DS-20251089","O2510-015",""
"SO-20251409","Industrial PC","DS-20251090","O2510-016",""
"SO-20251298","Ball Horticultural Company","DS-20251091","O2510-017",""
"SO-20251027","MEDATech/Borterra","DS-20251092","O2510-018",""
"SO-20251162","Navico Group Americas LLC","DS-20251093","O2510-019",""
"SO-20250495","Aerflite Canada Inc.","DS-20251094","O2510-020",""
"SO-20251319","One-Off Robotics","DS-20251096","O2510-021",""
"SO-20251429","General Technics Inc","DS-20251098","O2510-022",""
"SO-20251433","Royal Newfoundland
Constabulary","DS-20251099","O2510-023",""
"SO-20251172","Centre de technologies avanc?es BRP - Universit? de Sherbrooke (CTA)","DS-20251100","O2510-024",""
"SO-20251169","Uber Technologies","DS-20251101","O2510-025",""
"SO-20251377","Aerflite Canada Inc.","DS-20251102","O2510-026",""
"SO-20250936","Applied Intuition, Inc.","DS-20251103","O2510-027",""
"SO-20251441","COAST Automation","DS-20251104","O2510-028",""
"SO-20250789","MACHINEX INDUSTRIES INC.","DS-20251105","O2510-029",""
"SO-20251428","City Detect Inc","DS-20251106","O2510-030",""
"SO-20251265","PrePass","DS-20251107","O2510-031",""
"SO-20251318","Aerflite Canada Inc.","DS-20251108","O2510-032",""
"SO-20251378","Aerflite Canada Inc.","DS-20251109","O2510-033",""
"SO-20250820","Celestica Inc.","DS-20251110","O2510-034",""
"SO-20251067","Flanders Inc","DS-20251111","O2510-035",""
"SO-20251335","Scout AI Inc.","DS-20251113","O2510-036",""
"SO-20251196","FEV North America Inc.","DS-20251114","O2510-037",""
"SO-20251454","Digikey","DS-20251115","O2510-038",""
"SO-20251111","NASA/Johnson Space Center","DS-20251116","O2510-039",""
"SO-20251053","Rheinmetall Canada Inc.","DS-20251117","O2510-040",""
"SO-20251126","Sanctuary Cognitive System Co","DS-20251118","O2510-041",""
"SO-20251316","SILGAN WHITE CAP LLC","DS-20251119","O2510-042",""
"SO-20250495","Aerflite Canada Inc.","DS-20251120","O2510-043",""
"SO-20251337","Aerflite Canada Inc.","DS-20251121","O2510-044",""
"SO-20251145","Near Earth Autonomy","DS-20251122","O2510-045",""
"SO-20251262","International Road Dynamics Inc.","DS-20251123","O2510-046",""
"SO-20251205","Advanced Construction Robotics","DS-20251124","O2510-047",""
"SO-20251338","Advanced Construction Robotics","DS-20251125","O2510-048",""
"SO-20251070","Applied Intuition, Inc.","DS-20251126","O2510-049",""
"SO-20251324","Boston Scientific","DS-20251127","O2510-050",""
"SO-20251222","Scout AI Inc.","DS-20251128","O2510-051",""
"SO-20251254","Lightning Pick","DS-20251130","O2510-052",""
"SO-20251452","University of California San Diego","DS-20251131","O2510-053",""
"SO-20251202","Hyundai America Technical Center, Inc.","DS-20251132","O2510-054",""
"SO-20251463","DSC Dredge LLC","DS-20251135","O2510-055",""
"SO-20251471","General Technics Inc","DS-20251136","O2510-056",""
"SO-20251174","Near Earth Autonomy","DS-20251137","O2510-057",""
"SO-20251175","Uber Technologies","DS-20251138","O2510-058",""
"SO-20251250","Boston Scientific","DS-20251139","O2510-059",""
"SO-20251283","Boston Scientific","DS-20251140","O2510-060",""
"SO-20251376","Aerflite Canada Inc.","DS-20251142","O2510-061",""
"SO-20251261","V?hicule Autonome Universit? Laval (VAUL)","DS-20251142","O2510-062",""
"SO-20251229","Cyngn Inc.","DS-20251143","O2510-063",""
"SO-20251253","Seafloor Systems, Inc","DS-20251144","O2510-064",""
"SO-20251474","Bisco Industries","DS-20251146","O2510-065",""
"SO-20251483","Digikey","DS-20251148","O2510-066",""
"SO-20251402","Aeva","DS-20251149","O2510-067",""
"SO-20251294","Evolution Motion Solutions","DS-20251150","O2510-068",""
"SO-20251304","Evolution Motion Solutions","DS-20251151","O2510-069",""
"SO-20251265","PrePass","DS-20251152","O2510-070",""
"SO-20251314","Next Imaging, Inc.","DS-20251153","O2510-071",""
"SO-20251488","Digikey","DS-20251154","O2510-072",""
"SO-20251287","International Road Dynamics Inc.","DS-20251155","O2510-073",""
"SO-20251489","Digikey","DS-20251156","O2510-074",""
"SO-20251167","Dexterity, Inc.","DS-20251157","O2510-075",""
"SO-20251347","Echodyne Corp","DS-20251158","O2510-076",""
"SO-20251465","DSC Dredge LLC","DS-20251159","O2510-077",""
"SO-20251153","AIM Intelligent Machines","DS-20251161","O2510-078",""
"SO-20251447","PitPro
Automation","DS-20251162","O2510-079",""
"SO-20250452","Tek 84 Engineering Group","DS-20251163","O2510-080",""
"SO-20251306","Advanced Technology and Research Corporation","DS-20251164","O2510-081",""
"SO-20251505","Digikey","DS-20251165","O2510-082",""
"SO--20251419","Uponor, Inc.","DS-20251166","O2510-083",""
"SO-20251227","The Timken Company","DS-20251167","O2510-084",""
"SO-20251325","Boston Scientific","DS-20251168","O2510-085",""
"SO-20251492","Industrial PC","DS-20251169","O2510-086",""
"SO-20251500","Meridian Electric Inc.","DS-20251170","O2510-087",""
"SO-20251113","Applied Intuition, Inc.","DS-20251172","O2510-088",""
"SO-20251457","Vermeer Corporation","DS-20251173","O2510-089",""
"SO-20251260","InflexionPoint, LLC","DS-20251174","O2510-090",""
"SO-20251518","COAST Automation","DS-20251175","O2510-091",""
"SO-20251407","Carnegie Robotics","DS-20251176","O2510-092",""
"SO-20251236","USACE - United States Army Corps of Engineers","DS-20251177","O2510-093",""
"SO-20251295","Ridgeline Engineering Co. (REC, Inc.)","DS-20251178","O2510-094",""
"SO-20251453","Metal Minds","DS-20251179","O2510-095",""
